Date,NVDA,MSFT,AAPL,GOOG,GOOGL,AMZN,META,AVGO,TSLA,NFLX,COST,PLTR,ASML,TMUS,CSCO,AMD,AZN,LIN,APP,PEP,SHOP,INTU,PDD,BKNG,MU,QCOM,TXN,ISRG,ARM,AMGN,ADBE,LRCX,GILD,HON,AMAT,PANW,KLAC,CMCSA,ADI,ADP,MELI,INTC,DASH,CRWD,VRTX,CEG,MSTR,CDNS,SBUX,ORLY,CTAS,MDLZ,SNPS,TRI,ABNB,MAR,ADSK,PYPL,MNST,FTNT,CSX,WDAY,AXON,AEP,REGN,MRVL,NXPI,ROP,FAST,PCAR,IDXX,PAYX,ROST,DDOG,CPRT,WBD,TEAM,BKR,TTWO,ZS,EXC,XEL,EA,CCEP,CHTR,FANG,KDP,CSGP,VRSK,MCHP,GEHC,CTSH,KHC,ODFL,DXCM,TTD,CDW,BIIB,ON,LULU,GFS,TSM,BRK-B,JPM,WMT,ORCL,LLY,V,MA,XOM,JNJ,HD,ABBV,BAC,PG,BABA,UNH,CVX,SAP,GE,KO,WFC,PM,TM,MS,GS,NVO,NVS,IBM,HSBC,ABT,CRM,AXP,BX,MCD,T,RTX,DIS,SHEL,MRK,RY,CAT,UBER,NOW,VZ,C,TMO,MUFG,ANET,BLK,SONY,GEV,SCHW,HDB,SPGI,BA,UL,TJX,LOW,BSX,ACN,SAN,NEE,SYK,PGR,APH,SPOT,COF,ETN,BHP,DHR,PFE,TTE,TD,UBS,KKR,UNP,DE,BTI,MDT,SE,COP,IBN,BUD,WELL,MO,CB,LMT,BBVA,PLD,NKE,ENB,SMFG,RIO,BN,SO,MMC,ICE,PH,CVS
2010-01-04,0.42,23.17,6.42,15.5,15.58,6.7,,1.33,,7.64,42.22,,32.55,12.82,16.16,9.7,12.8,60.43,,38.33,,27.24,,220.78,10.6,31.53,17.29,34.31,,39.59,37.09,3.4,15.25,27.3,11.05,,20.92,6.09,21.98,25.9,49.02,13.52,,,44.24,,9.62,6.12,8.67,2.57,5.3,12.71,22.44,21.51,,22.09,25.67,,3.27,1.8,4.12,,4.65,19.01,24.52,17.94,,47.9,2.86,14.24,27.04,18.31,9.1,,2.28,15.84,,20.86,10.4,,18.7,12.37,17.66,7.24,,,3.17,4.22,28.64,9.68,,20.84,,4.18,2.14,,,53.64,8.87,15.45,,7.3,66.22,28.69,12.99,20.1,23.52,19.68,23.65,38.21,40.68,19.7,,12.23,38.69,,24.92,42.13,36.36,53.73,17.69,18.12,23.78,57.09,22.0,131.29,4.84,26.02,73.28,25.14,18.5,18.54,32.64,6.25,40.8,6.9,31.03,27.48,27.8,20.99,29.63,39.4,,,13.99,25.38,45.06,4.6,,159.1,5.28,,16.19,5.42,25.84,43.78,18.71,7.32,17.38,9.01,31.49,6.87,8.4,42.89,11.05,5.06,,30.74,21.51,30.36,15.21,9.52,26.39,17.05,11.1,,23.31,41.56,13.09,30.11,,23.18,6.0,37.82,22.11,7.66,35.64,47.14,7.77,15.67,13.35,11.24,5.4,21.69,5.43,16.65,15.81,19.44,41.68,22.7
2010-01-05,0.43,23.18,6.44,15.44,15.51,6.73,,1.34,,7.36,42.09,,32.8,12.85,16.09,9.71,12.54,59.31,,38.8,,27.24,,223.34,10.91,32.29,17.19,34.15,,39.25,37.7,3.38,15.23,27.35,10.96,,20.68,6.0,21.94,25.76,50.27,13.51,,,42.78,,9.78,6.06,8.87,2.57,5.29,13.33,22.25,21.34,,22.22,25.28,,3.29,1.84,4.23,,4.7,18.79,24.99,18.28,,47.28,2.91,14.5,27.08,18.3,9.27,,2.28,16.46,,22.08,10.47,,18.39,12.22,18.16,7.29,35.0,,3.14,4.24,28.83,9.52,,21.07,,4.27,2.17,,,53.38,8.79,15.91,,7.27,66.54,29.25,12.86,20.08,23.11,19.46,23.58,38.36,40.2,19.84,,12.63,38.7,,24.88,42.43,36.14,54.01,17.48,18.62,23.57,56.21,22.8,133.61,4.77,25.99,72.4,25.54,18.35,18.46,32.57,6.29,40.49,6.86,30.56,27.41,27.83,21.08,29.34,39.87,,,14.01,26.35,45.21,4.62,,159.79,5.25,,16.14,5.45,25.86,45.21,18.31,7.51,17.2,9.04,31.69,6.96,8.32,43.29,11.02,4.95,,31.96,21.38,30.37,15.19,9.38,26.45,16.98,11.18,,23.63,41.41,13.08,30.73,,23.2,6.09,37.37,22.42,7.67,34.84,47.63,7.83,15.9,13.4,11.36,5.42,22.03,5.51,16.31,15.43,18.71,41.48,22.61
2010-01-06,0.43,23.04,6.33,15.05,15.12,6.61,,1.35,,7.62,42.64,,33.1,11.99,15.98,9.57,12.44,59.83,,38.41,,26.86,,215.97,10.96,31.97,17.06,34.65,,38.95,37.62,3.36,15.76,27.35,10.94,,20.61,5.96,21.9,25.7,49.68,13.47,,,42.03,,9.63,6.13,8.81,2.56,5.3,13.42,22.21,22.04,,22.29,25.34,,3.35,1.94,4.24,,5.84,18.98,24.61,18.44,,47.74,3.11,14.69,27.15,18.45,9.41,,2.27,16.71,,23.18,10.44,,18.5,12.24,17.69,7.28,35.0,,3.21,4.25,29.2,9.44,,21.07,,4.35,2.24,,,53.43,8.9,16.25,,7.24,66.2,29.41,12.83,19.79,23.28,19.2,23.55,38.69,40.53,19.77,,12.78,38.51,,25.12,42.44,36.98,53.73,17.47,18.64,23.57,56.93,23.09,132.18,4.83,25.9,71.93,25.57,18.45,18.43,33.09,6.4,39.94,6.79,30.4,27.26,27.6,21.36,29.31,40.0,,,13.61,27.17,45.64,4.76,,156.5,5.25,,15.84,5.47,25.63,46.58,18.21,7.54,17.24,9.16,32.02,7.02,8.4,43.96,10.91,4.97,,32.13,21.29,30.87,15.22,9.35,26.44,16.92,11.15,,23.67,41.3,13.04,31.23,,23.37,5.99,37.14,22.31,7.78,34.36,46.93,7.87,15.76,13.32,11.16,5.71,22.71,5.45,16.54,15.9,18.13,41.31,22.41
2010-01-07,0.42,22.8,6.32,14.7,14.77,6.5,,1.35,,7.49,42.43,,32.18,12.1,16.05,9.47,12.57,59.99,,38.16,,26.77,,213.06,10.59,32.9,17.12,34.52,,38.6,36.89,3.36,15.8,27.88,10.82,,20.72,6.09,21.73,25.69,48.7,13.34,,,41.5,,9.25,6.25,8.79,2.55,5.35,13.39,22.15,21.78,,22.37,25.48,,3.34,1.95,4.21,,5.66,19.15,24.47,18.02,,47.55,3.16,14.88,28.18,18.74,9.8,,2.25,16.7,,23.35,10.39,,18.56,12.19,17.56,7.2,35.0,,3.17,4.24,29.16,9.39,,20.28,,4.14,2.3,,,52.99,8.89,16.16,,7.0,66.46,29.99,12.84,19.72,23.16,19.38,23.39,38.57,40.24,20.01,,13.2,38.31,,26.09,42.28,37.95,56.51,17.43,19.32,23.86,56.23,23.43,134.77,4.79,25.67,71.68,25.49,18.6,18.35,33.63,6.42,40.23,6.72,30.53,27.27,27.47,21.4,29.22,40.16,,,13.53,27.24,45.64,4.79,,158.22,5.24,,15.78,5.56,26.2,48.47,18.08,7.93,17.74,9.09,31.99,6.98,8.38,45.43,10.76,4.94,,33.72,21.6,30.6,15.34,9.32,26.38,16.69,11.19,,23.46,41.59,13.13,31.52,,23.28,5.98,36.23,22.35,7.77,34.56,45.64,7.81,15.89,13.45,11.1,5.92,22.71,5.47,16.47,16.1,18.62,41.8,23.23
2010-01-08,0.43,22.96,6.36,14.89,14.96,6.68,,1.36,,7.61,42.13,,31.41,11.42,16.14,9.43,12.63,60.38,,38.04,,27.48,,213.14,10.84,33.23,17.51,34.33,,38.94,36.69,3.44,15.68,28.5,11.24,,21.03,6.07,21.85,25.65,48.94,13.49,,,40.67,,9.5,6.34,8.76,2.53,5.4,13.4,22.31,22.08,,22.42,26.26,,3.36,2.01,4.41,,5.56,19.38,24.27,18.22,,47.89,3.19,14.9,27.95,18.75,9.61,,2.26,16.75,,23.82,10.42,,18.48,12.2,17.91,7.11,33.5,,3.15,4.23,28.78,9.45,,20.86,,4.2,2.26,,,54.08,8.89,16.14,,7.0,66.44,29.92,12.77,19.97,22.98,19.43,23.4,38.42,40.38,19.91,,13.08,38.26,,25.84,42.35,38.24,57.73,17.11,19.14,23.73,57.55,22.95,132.22,4.84,25.88,72.4,25.43,18.7,18.38,33.61,6.4,40.19,6.67,30.59,27.31,27.43,21.39,29.31,40.61,,,13.54,26.8,46.4,4.81,,159.33,5.35,,15.68,5.57,26.1,48.0,18.17,7.83,17.7,9.0,31.87,7.02,8.31,45.57,10.86,4.97,,33.43,22.09,31.01,15.56,9.39,26.54,16.75,11.6,,24.25,42.73,13.05,31.69,,23.48,5.85,36.03,22.12,7.79,34.36,46.38,7.91,15.85,13.43,11.18,5.86,22.96,5.5,16.44,16.02,18.68,42.98,23.4
2010-01-11,0.42,22.66,6.31,14.87,14.94,6.52,,1.36,,7.6,42.18,,30.75,11.57,16.09,9.14,12.85,60.95,,38.0,,27.61,,215.8,10.65,33.1,17.28,34.59,,39.11,36.21,3.53,15.81,28.86,11.49,,20.94,6.03,21.73,25.77,44.23,13.56,,,41.83,,9.08,6.34,8.73,2.54,5.38,13.34,22.12,22.07,,22.37,26.25,,3.36,2.01,4.37,,6.19,19.58,24.73,18.08,,48.09,3.13,15.15,28.89,18.86,9.66,,2.25,16.69,,23.57,10.68,,18.69,12.31,17.78,7.09,33.5,,3.13,4.24,28.71,9.44,,20.69,,4.17,2.25,,,53.9,8.97,15.9,,6.96,66.5,29.82,12.98,19.98,23.3,19.37,23.01,38.85,40.39,19.35,,13.2,38.1,,26.02,43.1,39.09,58.29,17.45,19.1,23.82,57.84,22.8,130.14,5.0,26.34,71.64,25.45,18.79,18.25,33.22,6.4,40.5,6.64,31.26,26.87,27.85,21.47,29.15,43.16,,,13.59,27.1,46.95,4.8,,161.93,5.38,,15.64,5.49,25.95,47.43,18.2,7.81,17.55,9.07,31.84,7.11,8.3,45.43,10.58,4.99,,32.83,23.1,31.21,15.73,9.47,26.94,16.81,11.64,,24.09,44.45,13.09,31.56,,23.62,5.85,36.35,22.17,7.84,34.73,46.6,7.92,15.87,13.26,11.08,5.93,22.76,5.42,16.65,15.96,18.68,44.2,23.35
2010-01-12,0.41,22.51,6.24,14.61,14.68,6.37,,1.34,,7.48,41.95,,30.79,10.22,15.84,8.65,12.8,60.3,,38.53,,27.61,,210.94,10.02,32.57,16.56,33.82,,38.43,35.66,3.3,15.83,28.53,10.97,,20.21,5.92,20.82,25.58,43.6,13.34,,,41.79,,9.96,6.2,8.58,2.59,5.31,13.57,21.8,21.74,,22.18,25.89,,3.33,1.98,4.27,,5.93,19.38,24.41,17.37,,48.06,3.13,15.1,28.84,18.8,9.69,,2.23,16.25,,23.12,10.19,,18.77,12.46,16.4,7.04,33.5,,3.08,4.17,28.93,9.28,,21.01,,4.15,2.37,,,53.25,8.49,15.68,,6.74,66.0,29.12,13.11,19.87,23.22,19.28,23.0,38.66,40.6,19.22,,12.75,38.54,,25.33,42.85,38.24,58.32,17.64,18.62,23.69,60.06,22.15,127.3,4.95,26.05,72.21,25.34,18.74,16.92,33.66,6.24,40.72,6.63,31.07,26.4,27.23,21.3,29.09,41.89,,,13.61,26.27,46.18,4.9,,159.03,5.55,,15.62,5.21,25.56,47.09,18.31,7.74,17.5,9.14,31.63,6.91,8.1,45.4,10.61,4.88,,32.96,22.8,30.13,15.51,9.44,26.46,16.73,11.34,,24.02,42.55,13.15,31.23,,23.12,5.6,36.2,21.97,7.8,34.81,46.59,7.84,15.51,13.24,11.01,5.9,22.09,5.34,16.55,15.8,18.21,44.3,23.1
2010-01-13,0.41,22.72,6.32,14.52,14.59,6.46,,1.3,,7.71,42.21,,31.65,10.18,16.13,9.15,13.09,61.37,,38.84,,27.92,,211.25,10.22,32.71,16.63,34.0,,38.78,36.28,3.32,16.02,28.63,11.03,,20.45,6.02,20.82,25.77,43.83,13.57,,,42.72,,9.81,6.39,8.79,2.6,5.39,13.54,22.01,22.14,,22.49,26.25,,3.38,1.94,4.3,,6.27,19.62,24.54,17.65,,47.88,3.17,15.17,29.58,18.81,9.79,,2.22,16.35,,23.54,10.36,,19.0,12.65,16.71,7.16,32.75,,3.1,4.15,28.93,9.36,,21.72,,4.17,2.31,,,54.08,8.59,16.16,,6.92,66.0,29.63,13.17,20.06,23.54,19.46,23.6,38.5,40.86,19.33,,12.96,38.94,,25.72,42.53,38.89,58.53,17.69,18.96,23.93,59.85,22.25,128.25,4.99,26.22,72.06,25.37,18.92,16.98,33.77,6.23,40.68,6.56,31.43,26.81,27.24,22.08,29.52,41.95,,,13.59,26.12,46.2,4.9,,159.66,5.83,,15.63,5.25,25.66,47.66,18.41,7.77,17.42,9.15,31.99,6.92,8.13,45.61,10.86,4.95,,33.16,23.04,30.57,15.55,9.66,26.34,16.91,11.27,,24.05,43.22,13.23,31.41,,23.26,5.69,36.62,22.44,7.84,34.92,47.16,7.88,15.93,13.36,11.03,5.9,22.65,5.44,16.78,15.8,18.53,44.53,23.38
2010-01-14,0.4,23.18,6.29,14.59,14.66,6.37,,1.3,,7.28,41.73,,31.43,10.02,16.33,9.0,13.33,60.03,,39.31,,28.1,,205.8,10.48,32.49,16.42,34.22,,38.52,35.9,3.27,16.01,28.8,11.09,,19.83,5.98,20.8,25.7,41.88,13.91,,,41.3,,9.91,6.32,8.86,2.59,5.36,13.49,22.19,22.3,,23.74,26.6,,3.38,1.99,4.26,,6.39,19.7,24.51,17.4,,47.95,3.15,15.14,29.82,18.62,9.72,,2.23,16.21,,24.04,10.15,,18.77,12.68,16.72,7.13,32.75,,3.11,4.25,28.7,9.29,,21.42,,4.16,2.31,,,54.36,8.51,15.93,,6.85,65.96,29.92,12.98,20.54,23.64,19.53,24.0,38.51,40.94,19.44,,13.11,38.98,,26.33,42.4,38.71,58.08,17.72,19.23,23.9,61.02,22.2,127.84,5.09,26.53,73.21,25.24,18.94,17.15,34.19,6.27,40.72,6.45,31.54,26.58,27.18,22.68,29.74,41.71,,,13.31,26.2,45.93,5.02,,158.65,5.93,,15.69,5.28,25.63,47.97,18.54,7.67,17.4,9.51,32.28,6.92,7.89,46.07,10.88,4.99,,32.81,23.08,30.8,15.62,9.75,26.08,17.03,11.3,,23.66,43.26,13.26,31.68,,23.36,5.68,36.68,22.28,7.89,35.25,47.13,7.85,15.87,13.28,11.01,6.07,23.03,5.41,16.74,15.9,18.88,44.95,23.36
2010-01-15,0.39,23.11,6.18,14.35,14.42,6.36,,1.29,,7.28,41.78,,30.74,10.17,15.97,8.84,13.19,59.99,,38.99,,27.82,,205.8,9.89,32.59,16.29,34.29,,38.58,35.87,3.14,16.03,28.84,10.61,,18.89,5.97,20.09,25.56,40.84,13.47,,,40.21,,10.36,6.22,8.75,2.55,5.27,13.71,21.97,22.09,,23.43,26.08,,3.37,1.96,4.22,,6.29,19.59,23.78,16.7,,47.23,3.12,14.78,29.55,18.22,9.57,,2.2,16.57,,23.91,10.08,,18.59,12.56,16.57,7.13,32.25,,3.1,4.14,27.77,9.08,,21.33,,4.06,2.42,,,54.18,7.99,15.57,,6.68,64.94,29.25,12.86,20.46,23.52,19.24,24.2,38.19,40.6,19.63,,12.68,38.5,,26.67,42.23,37.78,57.17,17.46,18.62,23.91,61.16,21.62,125.32,4.89,26.15,72.91,24.81,18.98,17.01,33.96,6.29,40.48,6.35,31.18,26.22,26.98,22.39,29.16,40.74,,,13.04,25.53,45.29,5.09,,158.78,5.86,,15.55,5.23,25.54,47.39,18.38,7.57,17.42,9.43,32.05,6.73,7.98,46.07,10.69,4.83,,32.38,22.66,30.24,15.42,9.8,25.4,16.71,10.85,,23.37,41.76,13.35,31.43,,23.38,5.6,35.7,22.24,7.91,34.88,47.08,7.67,15.8,13.15,11.03,6.33,22.62,5.37,16.69,15.81,18.43,44.77,23.34
